[2015-05-21 01:06:06,195: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:06:36,263: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:07:06,279: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:07:36,293: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:08:06,316: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:08:36,334: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:09:06,408: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:09:36,440: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:10:06,451: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:10:36,471: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:11:06,512: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:11:36,535: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:12:06,582: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:12:36,609: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:13:06,630: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:13:36,672: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:14:06,698: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:14:36,728: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:15:06,757: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:15:36,775: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:16:06,801: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:16:36,839: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:17:06,859: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
